,sentence,label,title
278,Дольщики многих из них уже жаловались на вялотекущую стройку и постоянный перенос сроков сдачи домов.,1,Дольщики жаловались на вялотекущую стройку и постоянный перенос
279,"У нас есть еще три компании, ведущие комплексную застройку микрорайонов, где идет отставание по срокам ввода.",1,"У нас есть еще три компании, ведущие комплексную застройку микрорайонов"
280,В августе этого года глава администрации Пензы Виктор Кувайцев выразил озабоченность сроками сдачи одного из домов.,1,Глава Пензы Виктор Кувайцев выразил озабоченность сроками сдачи домов
281,"Изначально первые энергоблоки ТЭС в Севастополе и Симферополе должны были быть введены в эксплуатацию в мае 2018 года, но в июне правительство РФ приняло решение перенести сроки запуска ТЭС на осень: в Севастополе - на 1 октября, в Симферополе - на 1 ноября.",1,Первые энергоблоки ТЭС в Севастополе и Симферополе должны был
282,"«У меня задержка сдачи квартиры в зелёных аллеях 9 месяцев, – приводит слова одного из покупателей жилья в «Аллеях» популярный телеграм-канал «Бойлерная».",1,«У меня задержка сдачи квартиры в зелёных аллеях 9 месяцев»
283,Сроки сдачи сдвинулись на квартал из-за объективных причин — осенью было неоднократное затопление котлована.,1,Сроки сдачи сдвинулись на квартал из-за объективных причин
284,"В прошлом году многие застройщики столкнулись с тем, что ряд требований при вводе в эксплуатацию невозможно исполнить в определенный период времени, например, летом или зимой.",1,"В прошлом году многие застройщики столкнулись с тем, что ряд требова"
285,"Мотивировано это тем, что компания, которая должна была поставить лифты, задерживает сроки поставки, а без лифтов, дом в эксплуатацию сдать невозможно.",1,"Компания, которая должна была поставить лифты, задерживает сроки"
286,"С другой стороны, если признать Низовского правым сейчас, ввод в эксплуатацию даже при лучшем стечении обстоятельств растянется годика на два.",1,Низовский ввод в эксплуатацию растянется годика на два
287,"ДОЛГОСТРОЙ, ПО 3-4 года не могут решить вопрос со сдачей домов.",1,Сдачей домов не могут решить.
288,"– Затянута работа по врезке наружных тепловых сетей, облицовке и благоустройству.",1,"Затянута работа по врезке наружных тепловых сетей, облицовке"
289,"Последний раз утверждали, что выдачу ключей будут производить в субботу, 23 марта, но ничего не было.",1,"Последний раз утверждали, что выдачу ключей будут производить в суб"
290,В Нижнем Новгороде встала 21 стройка,1,В Нижнем Новгороде встала 21 стройка.
291,Сколько еще людям придется ждать завершения стройки?,1,Сколько еще людей придется ждать завершения стройки?
292,"«Добро пожаловать на лохотрон»
«Новоград Павлино» – отнюдь не единственный объект МИЦа, дольщики которого вынуждены теперь тратить время и нервы, ожидая ключей от купленных и давно оплаченных квартир.",1,«Новоград Павлино» – единственный объект МИЦа
293,"""Несмотря на перенос сроков запуска Тайшетского алюминиевого завода в связи с ситуацией на мировых рынках, в 2012 году продолжалась работа на строительной площадке по ранее заключенным контрактам по приему технологического оборудования, большая часть которого к настоящему времени уже поставлена"", - сказано в сообщении.",1,"""Несмотря на перенос сроков запуска Тайшетского алюминиевого завода"
294,"Александр Гончаров отметил, что в 2018 году по результатам проверки деятельности застройщика ЗАО «ДЕСНА ЛЭНД» специалистами Комитета выдано предписание об устранении нарушений требований Федерального закона о долевом строительстве № 214-ФЗ, а именно о необходимости направления участникам долевого строительства уведомлений о невозможности завершения строительства в установленный ранее срок.",1,В 2018 году застройщик ЗАО «ДЕСНА ЛЭНД» получил пред
295,"Однако еще до переноса части их мероприятий в Санкт-Петербург стало ясно, что строители не успели бы закончить 18-миллиардный объект в нужные сроки.",1,Однако еще до переноса части их мероприятий в Санкт-Петербург стало
296,"Работы по реконструкции аэропорта Зеи в Амурской области, которые должны были завершиться в конце прошлого года, выполнены всего на 67% из-за недоработок в проекте, сообщает в среду Интерфакс со ссылкой на пресс-службу регионального правительства.",1,Из-за недоработок в проекте аэропорта Зеи в Амурской области выполн
297,"Они заключили договор с компанией «АртСтройТехно» о строительстве там домов, однако с 2003 года обманутые «Спасовцы» так и не могут получить свое жилье.",1,С 2003 года обманутые «Спасовцы» так и не могут получ
298,"Сергей Половников, ГФИ по Пермскому краю:

— Есть понимание, что сроки сдвигаются в связи с тем, что краем расторгнуты договоры с подрядчиком, который первоначально осуществлял строительство домов.",1,"Сроки сдвигаются в связи с тем, что краем расторгнуты договор"
299,"В ходе заседания рабочей группы директор по строительству ЗАО «ДЕСНА ЛЭНД» пояснил, что отставание от сроков было связано с работой генерального подрядчика в части обустройства наружных фасадов домов.",1,В ходе заседания рабочей группы директор по строительству ЗАО «ДЕС
300,"Как пояснили в компании-застройщике, причиной переноса сроков ввода в эксплуатацию многоквартирных жилых домов действительно является формирование земельных участков под каждым домом.",1,В компании-застройщике объяснили причину переноса сроков ввода в эксплуатаци
301,"«Ряд проектов не сданы в срок, – подтверждает еще один дольщик, Роман Рябов.",1,«Ряд проектов не сданы в срок»
302,Причин задержки строительства может быть несколько,1,Причина задержки строительства может быть несколько.
303,«Ростеху» простили срыв ввода ТЭС в Крыму,1,«Ростеху» простили срыв ввода ТЭС в Крыму
304,"Правительство полностью простило «Технопромэкспорту» (ТПЭ, подконтролен «Ростеху») штрафы за срывы сроков ввода большой генерации в Крыму.",1,Правительство простило «Технопромэкспорту» штрафы за срывы с
305,"Это изменение нужно для того, чтобы полностью снять штрафные санкции с ТПЭ за срыв сроков ввода двух ТЭС в эксплуатацию.",1,"Это нужно для того, чтобы полностью снять штрафные санкци"
306,"В Минэнерго и ТПЭ “Ъ” сообщили, что решение о переносе сроков подтверждает отсутствие штрафных санкций в отношении ТПЭ и «наличие объективных причин для переноса сроков ввода объектов новой генерации в Крыму».",1,В Минэнерго и ТПЭ сообщили о переносе сроков ввода объект
307,Челнинскому «Цезарю» помешал ветер: дольщикам «Профита» срыв сроков сдачи дома объяснили «цепочкой форс-мажорных обстоятельств»,1,Срыв сроков сдачи дома объяснили «цепочкой форс-мажорных об
308,"А вот кто понесёт ответственность за срыв сроков ввода в эксплуатацию жилого дома в посёлке Звёздном Кемеровского района, желает знать семья сирот Червовых.",1,Кто понесёт ответственность за срыв сроков ввода в эксплуатацию жилого
309,Но строительство завода вновь было отложено на неопределенный срок.,1,Но строительство завода вновь было отложено на неопределенный срок
310,"Таким образом, строительство было отложено на неопределенный срок.",1,"Таким образом, строительство было отложено на неопределенный срок."
311,"Глава региона выступил с заявлением после публикации петербургских СМИ новостей о том, что строительство станции метро ""Кудрово"" может быть отложено на неопределенный срок.",1,"""Кудрово"" может быть отложено на неопределенный срок"
312,Строительство профильного медцентра отложено на неопределенный срок.,1,Строительство профильного медцентра отложено на неопределенный срок
313,Деньги выплатили по решению суда из-за срыва сдачи жилых комплексов в Парголове и Шушарах.,1,В Парголове и Шушарах выплатили деньги из-за срыва
314,Челнинскому «Цезарю» помешал ветер: дольщикам «Профита» срыв сроков сдачи дома объяснили «цепочкой форс-мажорных обстоятельств».,1,Срыв сроков сдачи дома объяснили «цепочкой форс-мажорных об
315,Во второй раз переносятся сроки сдачи самого амбициозного и дорогостоящего проекта Марселя Мингалимова — 25-этажного дома-книжки под названием «Цезарь».,1,Сроки сдачи самого амбициозного проекта Марселя Мингалимова
316,"В Челнах переносятся сроки сдачи жилого комплекса «Цезарь», который возводит компания известного спасителя дольщиков и депутата Госсовета РТ Марселя Мингалимова «Камаинвестстрой» — «дочка» ГК «Профит».",1,В Челнах переносятся сроки сдачи жилого комплекса «Цезарь»
317,"В связи с этим руководители застройщика были вынуждены прибегнуть к увеличению сроков строительства и переносу сдачи объекта на период завершения фасадных работ и получения необходимой документации для ввода дома в эксплуатацию», — сообщается в объявлении на сайте ГК «Профит».",1,ГК «Профит» вынуждены прибегнуть к увеличению сроков строительства
318,"Юрист РОО «Комитет защиты прав потребителей РТ» Айгуль Гильванова рассказала, что ее клиенты, являющиеся дольщиками «Цезаря», уже смогли получить неустойку за первый перенос сроков.",1,Клиенты «Цезаря» уже смогли получить неустойку за первый
319,"Им тоже отправили допсоглашение на подпись с объяснением, что застройщик не укладывается по срокам.",1,"Они отправили допсоглашение на подпись с объяснением, что застройщик"
320,"А пока она готовит новую претензию, т. к. дом до сих пор не сдан и дольщики имеют полное право вновь получить неустойку по оставшимся срокам.",1,А пока она готовит новую претензию?
321,"В следкоме сообщили, что дольщики разместили в интернете на одной из платформ по сбору подписей петицию, в которой указывают на нарушение застройщиком сроков завершения строительства и сдачи дома.",1,В Следкоме сообщили о нарушении сроков завершения строительства и
322,"Подрядчик, проложив инженерную инфраструктуру, не сдал ее в эксплуатацию.",1,"Подрядчик, проложив инженерную инфраструктуру, не сдал ее в эксплуатаци"
323,Затягивание сроков сдачи объектов благоустройства может привести к секвестированию бюджетов для опоздавших.,1,Затягивание сроков сдачи объектов благоустройства может привести к секвестированию
324,"Бизнесвумен взыскала с «Интеко» 1,5 млн за срыв сроков сдачи квартиры за 58 млн руб",1,"«Интеко» взыскала с «Интеко» 1,5 млн за с"
325,"Арбитражный суд Москвы взыскал 1,5 миллиона рублей с компании «Интеко», которая сдала квартиру с нарушением сроков, говорится в документах суда.",1,"Арбитражный суд Москвы взыскал 1,5 миллиона рублей с «Интеко"
326,Трутнев раскритиковал срыв сроков сдачи объектов в Комсомольске-на-Амуре.,1,Трутнев раскритиковал срыв сроков сдачи объектов в Комсомольск
327,"Глава австрийской OMV Райнер Зеле говорил, что не исключает срыва сроков запуска «Северного потока - 2» в связи с позицией Дании, которая затягивает согласование проекта.",1,В Австрии не исключает срыва сроков запуска «Северного потока
328,"Сроки сдачи объекта несколько раз переносились, строительство сопровождалось крупными коррупционными скандалами и уголовными делами.",1,"Сроки сдачи объекта несколько раз переносились, строительство сопровождалось крупными"
329,"Причем часть котельных была запущена раньше срока, благодаря чему досрочно горячую воду получили 865 домов, в которых проживают около 108 тысяч человек.",0,В Петербурге горячую воду получили 865 домов
330,"ООО «БалтИнвестСтрой » взял обязательство раньше декабря завершить строительство школы на Ленинском проспекте на 1375 мест, а ООО «ПСБ «ЖИЛСТРОЙ» раньше срока завершил реконструкцию образовательного учреждения на Введенской улице.",0,ООО «БалтИнвестСтрой» завершил строительство школы на Ленинском проспекте
331,Школа на Южном шоссе на 825 мест также может быть сдана на месяц-полтора раньше срока.,0,Школа на Южном шоссе может быть сдана на месяц-полтора
332,Школу на Южном шоссе планируется сдать на месяц-полтора раньше срока.,0,Школу на Южном шоссе планируется сдать на месяц-полтора раньше
333,"Беглов перечислил школы, которые в 2019 году сдадут раньше срока",0,"Беглов перечислил школы, которые в 2019 году сдадут раньше с"
334,"Всё очень просто: увеличение финансирования позволит закончить строительство объекта на полгода раньше срока, предусмотренного контрактом, сообщил вице-премьер Республики Крым Евгений Кабанов.""Окончание работ запланировано на декабрь 2020 года, однако подрядчику было рекомендовано пересмотреть план-график с расчётом окончания работ на полгода раньше - в конце июня 2020 года.",0,В Крыму увеличение финансирования позволит закончить строительство объекта на полгода
335,"Он отметил, что срок исполнения контракта - 1 октября, однако подрядчик планирует завершить работы на две недели раньше - к 15 сентября.",0,"Он отметил, что срок исполнения контракта - 1 октября"
336,Также на месяц-полтора раньше срока намерены сдать школу на Южном шоссе.,0,На Южном шоссе намерены сдать школу на Южном шоссе
337,"По данным ""Орловских новостей"", в числе альтернативы казанской фирме ""РГС"" рассматривается компания, занимавшаяся ремонтом моста в Брянске, который был сдан на полгода раньше срока и не вызвал нареканий ни у горожан, ни у чиновников.",0,"""РГС"" рассматривается в числе альтернативы казанской фирме ""РГ"
338,"Беглов рассказал о школах, которые сдадут раньше срока в 2019 году",0,"Беглов рассказал о школах, которые сдадут раньше срока"
339,"Решение проблемы затянулось, а пока все решалось, по настоянию депутатов людям временно разрешили торговать на тех местах, где они это делали раньше.",0,"По настоянию депутатов людям разрешили торговать на тех местах, где"
340,Срок ввода предприятия был перенесен на 2021 г. на 1 год раньше заявленного срока.,0,Срок ввода предприятия был перенесен на 1 год раньше заявленного срока.
341,"Глава Петербурга Александр Беглов проверил строительство путепровода и ход реконструкции Оборонной улицы в Колпино - запустить рабочее движение планируют раньше сроков, уже к 1 декабря.",0,Беглов проверил строительство путепровода и ход реконструкции Оборонной
342,"Как ранее сообщало ТюменьPRO, строительство аэропорта может закончится раньше срока.",0,Строительство аэропорта может закончится раньше срока
343,"Последнее планировали завершить раньше, однако из-за высокой обводненности грунта работы затянулись, но даже при таких условиях подрядчик готов сдать объект до 1 сентября - на месяц раньше срока, установленного контрактом, сообщает пресс-служба правительства Амурской области.",0,В Амурской области подрядчик готов сдать объект до 1 сентября
344,"Окончание работ запланировано на декабрь 2020 года, однако подрядчику было рекомендовано пересмотреть план-график с расчетом окончания работ на полгода раньше - в конце июня 2020 года.",0,Подрядчик рекомендовал пересмотреть план-график с расчетом окончания работ
345,""" В сроки мы укладываемся, где-то даже ремонты заканчиваются раньше срока, "" говорит Алексей Бубнов.",0,"""В сроки мы укладываемся, где-то даже ремонты заканч"
346,"В случае сохранения этой тенденции, перинатальный центр будет сдан в эксплуатацию, как планировалось, в 2021 году, но на несколько месяцев раньше намеченных сроков.",0,"В случае сохранения тенденции, перинатальный центр будет сдан в эксплуатацию"
347,"Изначально газопровод намеревались запустить 20 декабря, но работы удалось завершить раньше срока.",0,Изначально газопровод планировали запустить 20 декабря
348,"В числе достижений новосибирских дорожников то, что строительство дороги от Новосибирска до Павлодара в Казахстане, которое ведется по нацпроекту ""Безопасные и качественные автодороги"", может быть закончено в 2020 году - на два года раньше изначально запланированных сроков ввода трассы.",0,В числе достижений новосибирских дорожников строительство дороги от Новосибирска до
349,Теплотрасса в Выборгском районе реконструирована на год раньше плановых сроков,0,Теплотрасса в Выборгском районе реконструирована на год раньше плановых
350,"Как сообщили представители застройщика, комплекс бы введен в эксплуатацию на месяц раньше срока, передача квартир дольщикам начнется в ближайшее время.",0,В ближайшее время передача квартир дольщикам начнется в ближа
351,Капитальный ремонт в доме 39/1 на улице Мосфильмовская завершился почти на месяц раньше срока.,0,Капитальный ремонт в доме 39/1 завершился почти на месяц раньше срока
352,Ремонт теплосети на проспекте Энгельса закончили раньше срока,0,Ремонт теплосети на проспекте Энгельса закончили раньше срока
353,Выполнить бизнес-план почти на месяц раньше срока помогла стабильная работа в течение года.,0,Выполнить бизнес-план почти на месяц раньше срока помогла стабильная работа
354,"Но подрядчик уложился в более сжатые сроки, сдав объект почти на месяц раньше назначенного срока.",0,Но подрядчик уложился в более сжатые сроки.
355,"Как сообщил прораб, работы ведутся с опережением сроков, и объект будет сдан раньше планируемого.",0,Прораб: объект будет сдан раньше планируемого
356,Ростехнадзор приостановил работу шахт ММК в Кузбассе из-за нарушений промбезопасности,0,Ростехнадзор приостановил работу шахт ММК в Кузбассе
357,"Ранее сообщалось, что отопительный сезон в Светловодске начался с опозданием - из-за долгов перед НАК ""Нафтогаз Украины"" предприятие ""Светловодскбыт"" не получило вовремя номинации на газ.",0,В Светловодске начался отопительный сезон
358,"Прежде, по данным СМИ, он заявлял, что согласование торговых договоренностей между ЕС и Великобританией может затянуться на долгий срок - до середины 2020-х годов.",0,"Он заявлял, что согласование торговых договоренностей между ЕС и Великобритани"
359,"Для жителей хабаровских бараков безуспешно ищут дешевые ""мини-квартиры"" Программа по расселению из аварийного фонда под угрозой срыва - в Хабаровске нет подходящих по цене и размеру квартир.",0,"Для жителей хабаровских бараков безуспешно ищут дешевые """
360,Задержки зарплаты должны стать невыгодными работодателям – Мамин,0,Задержки зарплаты должны стать невыгодными работодателям – Мамин
361,"В частности, в ноябре режим чрезвычайной техногенной ситуации был объявлен в городах Новояворовск и Новый Роздол Львовской области из-за того, что местная компания не смогла в отведенные сроки начать отопительный сезон.",0,В Львовской области объявлен режим чрезвычайной техногенной ситуации
362,"Ранее сообщалось, что отопительный сезон в Светловодске начался с опозданием - из-за долгов перед НАК ""Нафтогаз України"" предприятие ""Светловодскбыт"" не получило своевременно номинации на газ.",0,В Светловодске начался отопительный сезон
363,С другой стороны больше разрешений на строительство в последний раз было выдано только в 2007 году.,0,Больше разрешений на строительство в последний раз было выдано только в 2007
364,"А поскольку сделать его датским солдатом не удалось из-за незнания языка, Василия продали в рабство испанцам, те заковали его в кандалы и отвезли на свой остров Пуэрто-Рико, где заставили вместе с неграми работать на плантации.",0,"А поскольку Василия продали в рабство испанцам, те заковали"
365,"Те верфи, которые еще находятся в рабочем состоянии, либо не могут строить новые суда из-за устаревших мощностей, либо не справляются с объемом работы, либо стоимость постройки гораздо выше аналогичных работ за рубежом.",0,Стоимость постройки гораздо выше аналогичных работ за рубежом
366,"- Форсируются одновременно два блока, их строительство началось с разницей в один год, - рассказал Алексей Дерий, вице-президент АО ""ИК АСЭ"" - директор проекта по сооружению Курской АЭС-2.",0,Строительство Курской АЭС началось с разницей в один год
367,"СТАВКИ/КОЭФФИЦИЕНТЫ БУКМЕКЕРСКИХ КОНТОР НА МАТЧ Саутерн - ИУПУИ Ягуарс: Поединок между баскетбольными клубами Саутерн и ИУПУИ Ягуарс собирались провести в прошлом месяце, но из-за участия многих игроков в матчах национальных сборных, встречу перенесли на 27 ноября.",0,СТАВКИ/КОЭФФИЦИЕНТЫ БУКМЕКЕРСКИХ
368,"Поединок между баскетбольными клубами Оберн Тайгерз и Ричмонд собирались провести в прошлом месяце, но из-за участия многих игроков в матчах национальных сборных, встречу перенесли на 27.11.2019. Ее начало будет в 03:30 по МСК.",0,Поединок между баскетбольными клубами Оберн Тайгерз и Ричмонд
369,"Оказалось, перебои в поставках связаны с проволочками в заключении контракта с уполномоченным складом - процедура некоторое время откладывалась и переносилась.",0,"Оказалось, перебои в поставках связаны с проволочками в заключении"
370,Завод был достроен достроен к сроку,0,Завод был достроен к сроку.
371,"Больше недели тепло подавалось в дома не в полном объеме и из-за этого, по словам жителей, в итоге остановилась котельная.",0,Больше недели тепло подавалось в домах и из-за этого остановилась
372,А в Кунгуре (Пермский край) свыше 300 жителей остались без отопления в домах из-за аварии на теплотрассе.,0,В Кунгуре свыше 300 жителей остались без отопления в домах
373,"Наталья, которую болезнь постигла в 2013 году, уже успела практически полностью восстановиться, но проблемы со здоровьем еще остались.",0,"Наталья уже успела полностью восстановиться, но проблемы со здоровьем остались"
374,Но проект ее до сих пор не отпускает.,0,Но проект ее до сих пор не отпускает.
375,Жители 96 домов остались без отопления из-за сбоя оборудования в котельной Воронежа.,0,Жители Воронежа остались без отопления из-за сбоя оборудования в
376,"Очень жалко, что Александр не дожил до Победы…",0,"Очень жалко, что Александр не дожил до Победы..."
377,"Напомним, изначально строительство больничного центра оценили в 2,4 млрд, но затем из-за халатно сделанного проекта и непонятно как пройденной государственный экспертизы, его стоимость выросла до 5,3 млрд рублей.",0,"Строительство больничного центра оценили в 2,4 млрд рублей"
378,"Несколько лет назад она пришла на «Союзмультфильм», который как раз находился в процессе переезда в новое здание, студия срывала сроки по различным проектам.",0,Сколько лет назад она пришла на «Союзмультфильм»
379,Теплоснабжающую организацию отключили от газа за многомиллионные долги,0,Теплоснабжающую организацию отключили от газа за многомиллионные долги
380,"Станция не справляется с работой из-за не проведенного вовремя ремонта, а также из-за нехватки топлива - собственник обманул местные власти и не сделал необходимый запас, сообщил мэр Ярового Виталий Самобочий.",0,Мэр Ярового не справляется с работой из-за нехватки топлива
381,"«В связи с недостаточным количеством снега после аномально теплой осени и невозможностью подготовки трасс дата открытия сезона на Эльбрусе переносится с 30 ноября 2019года», - сообщается в Instagram АО «Курорт «Эльбрус ».",0,Дата открытия сезона на Эльбрусе переносится с 30 ноября
382,"У компании имелась банковская гарантия, но заявку поставщика отклонили на формальным основаниям, так как из-за переноса закупки срок действия гарантии не соответствовал условиям, пояснили в АО ""Нижегородский водоканал"".",0,В Нижегородском водоканале заявку поставщика отклонили на формальным
383,"Производство было заморожено в 2017 году из-за финансовых трудностей, в частности, требований о возврате долга фонду ""Урал"", который кредитовал развитие предприятия.",0,Производство было заморожено в 2017 году из-за финансовых трудностей
384,"Обновление действующих линий, построенных в 1997 году, требуется из-за истекающего срока службы.",0,Обновление действующих линий требуется из-за истекающего срока службы
385,"Перерыв между саммитами затянулся из-за того, что Киев не выполнял договоренности, достигнутые в ходе предыдущих встреч лидеров.",0,"Киев не выполнял договоренности, достигнутые в ходе предыдущих встреч лидеров"
386,"Предыдущий аукцион, назначенный на 24 сентября 2019 года, не состоялся из-за отсутствия заявок.",0,Аукцион не состоялся из-за отсутствия заявок
387,"Такое ощущение, что в Петербурге время остановилось где-то в 2003 году.",0,"Такое ощущение, что в Петербурге время остановилось где-то в"
388,"Трубы дымохода к зиме не подготовили, поэтому обитатели аварийного жилься боятся в нем зимовать.",0,Потому что обитатели аварийного жилья боятся зимовать
389,"Почти 250 жилых домов, а также несколько детских садов, школ и больниц в украинском городе Кропивницкий остались без теплоснабжения из-за прорывов на трубопроводе, сообщила во вторник пресс-служба горсовета.",0,Почти 250 жилых домов в Кропивницкий остались без теплоснабжения
390,"Процесс формирования и утверждения ЕК затянулся на месяц больше положенного срока из-за отказа евродепутатов утвердить трех кандидатов в еврокомиссары, от Франции, Румынии и Венгрии.",0,Из-за отказа евродепутатов утвердить трех кандидатов в еврокомиссары
391,"Изначально сессия должна была пройти 21 ноября, но из-за неявки большинства депутатов её перенесли на 25 ноября.",0,Изначально сессия должна была пройти 21 ноября
392,"Такое ощущение, что у мэрии в этом году вообще не задалось со скверами, и чиновники решили сравнять их с землей.",0,"Такое ощущение, что у мэрии в этом году вообще не задалось"
393,Жители 96 домов остались без отопления из-за сбоя оборудования в котельной Воронежа,0,Жители Воронежа остались без отопления из-за сбоя оборудования в
394,Троллейбусы и автобусы идут с задержками из-за ДТП на юго-западе Москвы,0,Троллейбусы и автобусы идут с задержками из-за ДТП
395,Четыре района Херсонщины из-за аварийного ремонта на несколько часов отключат от электроснабжения,0,Четыре района Херсонщины из-за аварийного ремонта отключат
396,"Слесарь погиб в котельной Воронежа, авария в которой оставила без тепла 96 домов",0,"Слесарь погиб в котельной Воронежа, авария оставила без тепла 96"
